Text	Start Time (s)	duration	label
Lines in mid which also works out for	216.68	4.4	1
Sen because now they have a bit of map	218.8	4.601	1
info of how loud will play those lower	221.08	4.359	1
by rounds whether or not they were	223.4	4.759	1
covering mid L maybe can read a bit into	225.44	5.08	1
it once they see it again all that	228.16	5.44	1
information helps so now what can L do	230.52	5.92	0
they tried the B stack that default take	233.6	4.72	0
on a for first round did not work but	236.44	3.561	1
they're going to heavy stack towards a	238.32	3.441	1
here as we get a bigger default from	240.0	3.76	1
Sentinels and I'm interested to see if	241.76	4.6	1
loud does a bit of the extremity pushing	243.76	4.759	1
here they need each other to get back	246.36	4.599	1
for this initiator utility on the retake	248.52	4.36	0
so losing somebody on a peak would be	250.96	3.881	0
detrimental to loud they're going to	252.88	6.04	1
stay back and play a very passive o game	254.84	6.28	1
except for that player except for that	258.92	4.641	1
two gets dropped instantly Sentinels	261.12	5.72	1
once again in a power play John Cy still	263.56	4.76	1
lurking around towards this B sign	266.84	2.919	1
trying to see if you can hear rotate out	268.32	3.439	0
of market so for sentinals it's still an	269.76	4.081	1
information game for loud it's the	271.76	3.481	1
aggression we talked about the	273.84	2.76	1
extremities but this time it's towards	275.24	3.92	1
the there's the contact on a few finally	276.6	5.159	1
gets traded out but we're even up on a	279.16	5.44	1
33 with Z heavily damaged and that lurk	281.76	5.041	1
though for John cue it's now open it's	284.6	3.879	1
up to sel to try to figure a way back	286.8	2.959	1
towards the B site to meet up against	288.48	2.961	1
the	289.76	4.921	1
igl going the long way around wouldn't	291.44	5.0	1
be able to clear mid and do not know	294.68	3.32	1
what breadcrumbs are left there from the	296.44	4.36	1
Cowen push yeah they right qck is able	298.0	5.039	1
to catch this audio and will take a shot	300.8	5.48	1
easy one placement Z low on HP actually	303.04	4.841	1
Dodges away from The Flash and made it	306.28	3.68	1
through getting a plant right now for	307.88	3.64	1
senal would be pretty	309.96	4.0	1
decent for this bonus round that they	311.52	5.6	1
have John C watching Z's back as a plant	313.96	5.56	0
Comes Down stink bite just dropping down	317.12	5.639	0
inches away at zin's feet and allows	319.52	4.679	0
both players now to group together	322.76	2.801	1
towards the back of the site they see	324.2	3.801	1
the Recon darts are rotate a flank from	325.56	4.479	1
sadak towards the B Main	328.0	4.36	1
qck no more flashes has to move together	330.04	3.481	1
they have to play the fundamentals now	332.36	3.839	1
for loud to blaze wall first but another	333.52	5.239	1
St Bight forcing John Cy out of position	336.2	5.161	1
a one for one solo second head shot on	338.76	5.44	1
the first but geted right away by Les a	341.36	5.52	0
nice trade for loud they convert their	344.2	5.401	0
gun round but SEL they are definitely	346.88	5.68	1
happy with that result loud securing	349.6	6.48	1
that one L with the viper bite on to Z	352.56	6.12	1
actually paying off in dividends as they	356.08	4.64	1
follow up on it but you're right so much	358.68	4.079	1
damage done from Sentinels loud are	360.72	4.08	1
going to have a bit of trouble reing	362.76	3.921	1
into this already see some Stingers on	364.8	4.36	1
the board as we rewatch this play again	366.68	5.32	1
good teamwork good trade fundamentals on	369.16	4.84	1
that one keep pressing W until you can	372.0	4.52	0
get your teammate anchored on that play	374.0	4.4	0
So a good post plant from loud we see	376.52	3.92	1
that	378.4	4.199	1
successful can they keep it up Phoenix	380.44	4.8	1
ultimate's up they may try to go for an	382.6	4.32	1
a push here as they already have that	385.24	4.399	1
sight quite stacked and the only one	386.92	4.361	1
that's going to be seen as	389.64	4.84	1
two L having to play once again a gamble	391.28	4.88	1
stack this time towards B because of	394.48	3.481	1
that bonus round that SEL had the	396.16	4.08	1
economy is very low the strongest weapon	397.96	4.359	1
was the one that was maintained by Les	400.24	4.079	1
on that previous round which is a vandal	402.32	3.241	1
and the rest are just looking for that	404.32	3.761	1
trap play it's up to loud once again to	405.56	4.479	1
do a lot more rotations around the side	408.08	3.559	1
have better reads but thankfully they	410.04	3.961	1
have a scan agent andot who's currently	411.64	5.041	1
joining towards the B main spots nothing	414.0	4.4	1
this is good for Sentinel to work the	416.68	4.72	1
map	418.4	3.0	1
what a choice John QD again calling it	421.48	5.72	1
shots the left side of the map here	424.68	4.28	0
obviously a retake for loud but this	427.2	3.961	0
should be Sentinels planting pushing	428.96	3.44	1
forward and actually gaining some	431.16	3.68	1
position so loud cannot do anything	432.4	4.88	0
really here on the retake the way	434.84	4.84	0
Sentinels have been approaching each of	437.28	4.639	1
their games it seems like they have two	439.68	4.56	1
variations they can use whether it is 10	441.92	4.68	1
on the omen where they they they play a	444.24	3.88	1
game that's centered around this	446.6	3.28	1
crowding up getting into the sight	448.12	3.359	1
together and just	449.88	5.201	1
swarming s a top of the head of s Falls	451.48	5.4	1
at least for allow they have this	455.08	4.6	1
running back with qck hoping that sedak	456.88	4.16	0
was still alive to help with the Recon	459.68	2.959	1
Dart but it's going to make it a little	461.04	3.481	1
bit more difficult for loud to retake	462.64	4.28	0
the site J CU already setting up with	464.52	3.679	1
the camera so that's going to be the	466.92	2.641	1
first Contact the rest of the team	468.2	3.241	1
holding back towards be main looking to	469.56	4.4	1
just Spam if loud make it through make	471.44	5.039	1
it through the first line of contact	473.96	5.84	1
John cuy back Beautiful by celsus it	476.48	5.72	1
allows for him to get the kill onto less	479.8	4.959	1
there's qk upgrading weapon M onto the	482.2	4.12	1
ground the Lays coming out from SEL that	484.76	3.28	1
clock is ticking down here pains on top	486.32	3.921	1
of that nice shot though from T as	488.04	4.16	1
they're leading forward boom to get more	490.24	4.2	1
scans s dropping two in a beautiful hole	492.2	5.041	0
for s in the end not even worrying about	494.44	4.319	0
the smokes that can come through they	497.24	3.76	0
have all the utility and weaponry to	498.76	4.56	0
fire back on to loud and that low by	501.0	4.0	1
hurts all the damage sen did on the	503.32	4.16	1
bonus round hurts and they pick up a	505.0	5.84	1
third round now and that that was that	507.48	5.0	1
that was the one variation of the hit	510.84	3.48	1
where they can follow zekin in they can	512.48	4.081	1
make it work on a map like Sunset and	514.32	4.24	1
then klin can switch up the team and you	516.56	4.919	1
can get a bind out of this squad that	518.56	5.0	1
has a yoru forend where they're pushing	521.48	4.401	1
everywhere they know how to flex and	523.56	4.56	1
flow between play Styles so well when	525.88	3.92	1
they get on different agents Sentinels	528.12	3.64	1
is just showing different this year but	529.8	3.92	1
we got a whole series to go through and	531.76	4.36	1
Loud has showed us just as much this	533.72	5.119	1
season coming into round five this til	536.12	6.399	1
push is is louds again but T answers two	538.84	4.641	1
right	542.52	3.681	1
away but tuis did get a timing he made	543.48	4.599	0
it through that's going to catched on CU	546.2	4.079	1
that's allowing to even up the tally for	548.08	3.841	1
the mid-ring to start a little bit	550.28	4.481	1
earlier Les even once more no pun	551.92	5.0	1
intended as we have a fight now towards	554.76	6.4	1
the a main side instantly leaving sashy	556.92	7.28	1
alone and they may even taster choice	561.16	5.04	1
this and by that I mean who's going to	564.2	3.72	1
kill Sashi do you get an ALT on sadak do	566.2	3.879	1
you get an ALT on l is it different do	567.92	3.599	1
you let him get it down and get the alts	570.08	2.841	1
that way loud's going to be able to	571.52	3.121	1
circulate these alts in the next few	572.92	3.72	0
rounds sashy gets the plant and	574.64	3.56	0
beautiful that he can work off of it	576.64	3.6	1
with wingman here trash is available if	578.2	5.24	1
this goes down Sashi may go all out that	580.24	4.68	0
would be such a gamble but look at him	583.44	3.72	0
it here all these rotates so he's trying	584.92	3.479	0
to get an angle he's trying to get a	587.16	3.119	0
surprise attack here's our first jump	588.4	3.801	0
spot here's two crossing over the third	590.28	4.161	0
one already made it through so Sassi now	592.2	4.24	1
has a timing behind the three players	594.44	3.68	0
allowed roach it in across there's a	596.44	3.2	0
stake by towards M now	598.12	3.92	1
Watchers two and he will have all the	599.64	4.8	1
kit left now on his Geo kit the mar	602.04	4.32	1
going down Force the halfway out of	604.44	4.44	1
position now Les Falls away there's that	606.36	3.919	1
thrash coming out too from the front of	608.88	3.079	1
the pillar and Les even has to pull back	610.28	3.481	1
towards the market it does not hit him	611.96	5.12	1
though but that clock is taken down s r	613.76	6.639	1
for the time gets it done and Sass wins	617.08	7.361	1
a three on one against	620.4	8.361	1
loud incredible play from sashy you can	624.44	6.8	1
look at any player on this team and find	628.76	4.04	1
that type of play coming out of	631.24	6.48	1
Sentinels here absolutely routing loud	632.8	7.08	1
listen to that	637.72	5.64	1
crowd the Saucy call outs come out as	639.88	6.639	1
his plays go down what a pivotal kill	643.36	6.159	1
two for 10s for Sentinels to understand	646.52	6.081	1
the tiles push has been such a priority	649.52	5.921	1
for L they instantly attack back snap	652.6	5.32	1
back at L's push when qck comes around	655.44	4.32	1
the corner and	657.92	6.0	1
yeah they're feeling that what a play	659.76	5.92	1
from	663.92	4.359	1
Sassi absolutely throwing loud's timing	665.68	4.36	1
off by the wingman plant and push into	668.28	4.281	1
to Market very heady play we're in round	670.04	5.08	1
six now a mid playay from loud thinking	672.56	4.2	1
that Sentinels might go for this	675.12	3.24	1
encroachment again they have a lot that	676.76	2.8	1
they can work behind this wall that they	678.36	2.88	1
just put up there goes that curveball	679.56	5.12	1
out for qck but do we still fell first s	681.24	4.68	1
are just anching around they have	684.68	3.08	1
support from all angles control it in	685.92	4.76	1
the middle kn chance	687.76	5.4	1
for through a mid	690.68	6.279	1
flood with that hat thrown here by joh	693.16	5.96	1
gives enough information that a site is	696.96	4.201	0
open it's weaker where sedak is	699.12	4.2	0
currently only holding with the sheriff	701.16	3.679	0
even sels they're giving him that	703.32	3.28	0
respect moving all the way together	704.84	5.401	0
forming up forming up ORS rather really	706.6	8.12	0
just working the protocols for the later	710.24	4.48	1
rounds just the smoke giving them pawn	714.88	5.28	1
shop control they know Sak right	717.52	5.361	1
there and another quick wingman plant	720.16	4.88	1
giving Sentinels so much safety never	722.88	4.84	0
having to push into the sight remain	725.04	4.32	1
somehow sedak had an opener had an	727.72	4.239	0
opportunity to drop JN cue but it's a NL	729.36	6.2	0
battle won by Sentinels yeah and last	731.96	5.68	1
again potentially in a situation yeah	735.56	3.2	1
you already see him back it up he's	737.64	3.481	1
going to save this one money wasn't too	738.76	4.199	1
great here for alloud and his half by	741.12	4.24	1
that they had trap play was read by	742.96	4.801	1
Sentinels exactly louder doing	745.36	4.36	1
everything they can to get under the	747.76	3.96	1
skin of Sentinels find that first kill	749.72	4.239	1
so they might be able to grab zel's	751.72	3.919	1
Vandal or whatever he would have in the	753.96	3.961	1
round and then move it around again	755.64	4.121	1
right see what Les can get see what can	757.92	5.2	1
happen Sentinels is avoiding it though	759.76	5.36	1
they're understanding and respecting the	763.12	3.8	1
fact that loud can still do a lot of	765.12	3.92	1
damage on these Low by rounds and you're	766.92	4.76	1
not seeing any wide swings that don't	769.04	4.44	1
have an anchor of a sentinel member on	771.68	4.56	1
it very controlled play Here by send	773.48	4.0	1
understanding their wing condition and	776.24	4.0	1
holding it close to the chest four	777.48	4.799	0
ultimates for loud very big swing point	780.24	4.12	1
in the game we get another timeout right	782.28	4.761	1
away oh my gosh should be the first one	784.36	6.56	1
here after all okay okay yeah so now	787.04	4.919	1
just trying to figure out what they can	790.92	2.68	1
do with this	791.96	4.041	1
probably as we had an inkling that a	793.6	3.599	1
timeout should have come out on that	796.0	3.16	1
previous round that lower buy that we	797.2	3.44	1
had from loud is just for him to decide	799.16	3.0	0
okay we got four alss to work with this	800.64	4.361	0
time around but that doesn't take away	802.16	4.2	1
any of the point that you mentioned so	805.0	4.399	1
far with that the ski round loss in a	806.36	5.32	0
row you're going to get 2900 into the	809.4	4.88	1
pockets of loud that's basically on no	811.68	4.68	1
credits is they have to spend in again	814.28	4.12	1
they need to use these ultimates to get	816.36	3.88	1
some rounds back now or it's going to	818.4	4.8	1
start swinging very heavily in favor of	820.24	5.24	1
sen already they swing heavily over	823.2	4.841	1
towards the right side to pressure main	825.48	5.279	1
pop flash going right into back alley	828.04	4.239	1
and it definitely looks like for louds	830.76	2.681	1
side they want to try to use that right	832.28	2.68	1
away there's the p on the first one	833.44	3.519	1
already the ig's backing up trying to	834.96	3.841	1
get the hury out and there it is it does	836.96	4.12	1
get a ping on a feud and with flashes	838.8	3.92	1
coming across it does get contact for	841.08	4.281	0
Ping but Zen still opens up Sentinels	842.72	4.44	1
were working towards the midside after a	845.36	4.2	0
trap play attempted by L with these alss	847.16	4.08	0
now Les is going to be in heavy trouble	849.56	3.839	1
towards the market he's there alone and	851.24	3.599	1
he's just trying to Anchor up at least	853.4	4.36	1
one portion of this bite towards the map	854.84	4.68	1
while the rest are pushing double	857.76	4.041	0
towards aong zelus is currently waiting	859.52	3.961	0
he lost his teammate in the process but	861.8	3.479	0
he gets the Dink and the kill on to tuis	863.48	3.68	1
the flash turns away from it and does	865.28	4.12	0
not connect on the second one Cowen	867.16	4.64	0
walks outway out of that fight limping	869.4	4.041	0
away but still has that support from	871.8	4.0	1
sadak three on three now in the mid	873.44	5.72	1
round finding fights around the map loud	875.8	5.92	1
trying to pick apart at sentinel's Team	879.16	4.64	1
before they hit these sights finally we	881.72	3.4	1
just talked about it they couldn't find	883.8	3.0	1
any ground before it always be quickly	885.12	4.88	1
traded back now the 3v3	886.8	6.52	0
stands unless gets traded out yep in	890.0	5.32	0
these moments during this kickoff has	893.32	4.079	1
been so good and he anchored position to	895.32	4.519	1
drop two and three has been a superstar	897.4	5.761	1
player but now SEL coming out this	899.84	5.68	1
game the basics the fundamentals are	903.16	4.0	1
looking very good to get	905.52	4.841	1
a coming out looking around the	907.16	6.0	0
TP Co moving forward looks like tens is	910.36	4.2	0
looking for a fight he gets punished	913.16	3.0	0
right away by sadak as the Rolling	914.56	3.76	1
Thunder comes out now even the P comes	916.16	5.239	1
out beautiful combination of utility	918.32	6.72	1
from loud as they drop zasi and come in	921.4	5.481	1
for the diffuse and we talked about how	925.04	4.919	1
big this round was loud stays off going	926.88	5.519	1
into economy hell right now that was	929.96	4.56	1
such a big round Sentinels would have	932.4	4.12	1
been running away with a few more and	934.52	3.481	1
this first half would have not looked	936.52	4.161	1
good now we have loud coming back up	938.0	4.199	1
here still going to be a buy coming in	940.68	3.68	1
from sen it seems yeah they should be	942.2	3.681	1
able to get that low armor	944.36	5.599	1
in see this again too the the retake it	945.88	7.48	1
had to happen for loud to use the the	949.96	5.841	1
the Rolling Thunder everything they had	953.36	5.08	1
it was according to the play this had to	955.8	4.24	1
be be	958.44	4.56	1
secured oh Saucy not get out of that one	960.04	5.08	1
you see they're still vibing loud knows	963.0	4.319	1
this game isn't out of hand it's not	965.12	4.639	1
crazy the few rounds down means nothing	967.32	5.241	1
to sadak and Loud still very much in it	969.76	5.0	1
and let's see how they play that always	972.56	4.279	0
on ph the judg is there for sedak so you	974.76	3.401	0
know they're starting to get a little	976.84	3.161	1
ratty on these we'll see how that gets	978.16	4.799	1
used and these ultimates as well QC K	980.0	5.519	1
can still go in a quick retake and Les	982.96	4.841	1
just pushes him out with the Viper pit	985.52	4.521	0
we have yet to see how loud actually	987.8	4.64	0
fight back with those you see loud	990.04	4.32	0
though just jingling across the contact	992.44	3.56	0
being those controllers Less in the back	994.36	5.32	1
of the site two on the a site it looks	996.0	5.759	0
like senel want to activate right away	999.68	4.88	0
they com in out from zelus second	1001.76	5.401	0
Satchel to cross contact on players from	1004.56	4.48	0
loud in the back of Boba as a plant	1007.16	3.239	1
comes in for sental it's time for them	1009.04	3.239	1
to play the pulse plant once again but	1010.4	3.56	1
this time around nobody holding yet	1012.28	3.081	1
towards the back of the B main it's a	1013.96	3.24	1
paranoid to push through and you hear	1015.36	4.159	0
that run it back should come across the	1017.2	5.161	0
save comes out from Les as it allows qyk	1019.52	5.001	0
to stay alive a whole roster of loud	1022.36	4.079	1
against three left of Sentinels paranoia	1024.52	3.6	1
being thrown on defense there's that	1026.44	3.441	1
judge more utility flooding towards the	1028.12	4.079	1
front but celsus and tense are holding	1029.88	4.0	0
back their ground for now beautiful	1032.2	4.48	1
flash out fromus though now the tap on	1033.88	4.28	1
the spike trying to draw out the	1036.68	3.721	1
opponents beautifully done by	1038.16	4.72	1
loud they come in for the diffuse and	1040.4	5.12	1
you saw some hope there from zelus and	1042.88	5.319	1
10 and Loud instantly they held back for	1045.52	5.2	1
a Split Second four Sentinels out and	1048.2	4.001	1
finally played the fundamentals in won	1050.72	4.319	1
the round that's the loud train I think	1052.2	5.04	1
we've been looking for it took a little	1055.04	4.801	1
bit to stoke the fire but man coming	1057.24	4.52	1
down the tracks you do not want to be in	1059.84	3.719	1
the way of loud when they feel like the	1061.76	4.039	1
retake is going	1063.56	5.801	1
100% the way they came through Boba here	1065.8	7.561	1
just Fearless as it were as sedak says	1069.36	6.559	1
La just run right into B main the last	1073.36	4.439	1
time we saw that fight Sentinels was	1075.92	5.081	0
just Laing loud as they tried to come	1077.8	5.161	0
into B main they didn't even make it	1081.0	4.72	1
loud gained so much ground there	1082.96	4.44	1
completely taking Sentinels by surprise	1085.72	4.04	1
we set up for Sen in a bit of the same	1087.4	4.56	1
formation but less movement they're not	1089.76	3.72	1
taking as much of	1091.96	4.92	1
Market supressed the wall that they just	1093.48	5.199	0
dealt with there in B main usually can	1096.88	3.72	1
mean someone pushes up so you have to	1098.68	4.961	1
worry loud is giving send a lot of	1100.6	5.439	1
things to worry about here and with	1103.64	4.2	1
Dizzy down they're going to be able to	1106.04	3.961	1
have a little m in control but not sight	1107.84	5.839	0
yet s's just trying to play into loud's	1110.0	5.44	0
style where when they get pressure on	1113.68	3.401	0
one side they usually push the extremity	1115.44	3.16	1
on the other so you already see tens	1117.08	3.92	1
holding back towards the a main side all	1118.6	3.68	1
the way from Spawn trying to catch a	1121.0	3.159	1
forward push but nobody's really moving	1122.28	3.519	1
here from loud they held things back	1124.16	3.081	1
towards the B site they haven't really	1125.8	3.921	1
fully rotated and for them they're just	1127.24	4.2	1
very much still comfortable of playing	1129.72	4.52	1
that retake style uh towards this a sign	1131.44	4.28	0
for senal they regrouped after that	1134.24	3.16	0
after deniability that you saw there	1135.72	5.52	0
from less his utility with his	1137.4	7.24	0
teammates sen is looking to fit back	1141.24	5.76	1
toying with the door just hoping loud	1144.64	4.919	0
will have to keep covering Market there	1147.0	4.52	1
as they start to make their way zelus	1149.56	3.441	1
knife came up just a bit ago as they	1151.52	3.2	1
enter the a main area but this is a	1153.0	3.44	1
contact play they want to see how loud	1154.72	4.36	1
reacts to this and finally after the	1156.44	4.359	1
first SM comes out on the defense the	1159.08	3.0	1
other one goes out towards the spawn on	1160.8	3.521	1
the attack now you're not allowing here	1162.08	4.36	1
at twois to get the high stack and a	1164.32	4.8	0
spray with his Vandal which allows here	1166.44	6.92	0
a wingman to get a very Le plant towards	1169.12	4.24	1
a how far do they push forward little	1173.68	5.321	1
hide here from second right under the	1176.48	5.199	1
trash can John QD is going to be	1179.0	4.88	1
flanking far but it's watched by sedak	1181.68	4.161	0
What's the timing here loud comes	1183.88	3.4	1
through spawn through a whole flash	1185.84	2.68	1
towards the air just to try to slow it	1187.28	2.759	1
down for a bit just trying to take down	1188.52	3.32	1
Sak first to push towards that spawn it	1190.04	3.241	1
works out another one fell within the	1191.84	4.68	1
sight for loud loud have regain control	1193.28	5.12	1
of that b site the tap to flush out	1196.52	4.12	1
Sentinels once again double back towards	1198.4	4.04	1
the default box as last lines up two	1200.64	4.039	1
kills somehow and the spray comes back	1202.44	3.719	1
here through the cages but it's going to	1204.68	4.401	1
be difficult right now Sashi does get	1206.16	4.64	1
the pick the last one still sticks to	1209.08	2.92	1
the	1210.8	3.76	1
fuse not planed for them to be to play	1212.0	4.44	1
that push forward they really had to	1214.56	3.681	1
walk in the sight and L was always ready	1216.44	3.56	1
for that pretty wild damage from	1218.24	3.799	1
Sentinels though coming out with some	1220.0	5.6	1
pist on that round they drop all of loud	1222.04	5.161	1
loud and the fans happy though to pick	1225.6	3.04	1
up another round like we said even	1227.2	3.16	1
looking at five been showing up as well	1228.64	4.32	1
for Sentinels this season so we get back	1230.36	5.64	1
in also decided not to play the ascent	1232.96	5.48	1
in this Grand finals they didn't that	1236.0	5.6	1
the fact that we had ice box in here and	1238.44	4.76	0
S have been kind of kicking that out of	1241.6	3.28	0
the pool was very interesting I cannot	1243.2	5.599	0
wait but on Sunset until it does just	1244.88	6.799	0
that round 10 monster on the loose uhoh	1248.8	4.801	0
thrash right off the rip how does loud	1251.68	3.921	0
respond to an instant aggression tried	1253.6	4.72	0
to get a camera uh pivot towards the mid	1255.6	5.16	1
and zelus already fell now just spraying	1258.32	4.479	1
across here and gets a lucky kill onto a	1260.76	4.039	1
second that second that falls he's he	1262.8	4.801	1
get a plant now Hunter's Fury coming out	1264.8	4.961	1
from the defense of ping does get the	1267.6	4.84	1
hit onto John cue from	1269.76	5.159	1
qck as here's a shot from behind to lur	1272.44	5.04	1
once again Sashi gets it done TS under	1274.92	4.041	1
heavy pressure alone towards the back of	1277.48	3.64	0
the site thrash being picked up the TP	1278.96	3.88	1
away from one sees the second one and it	1281.12	2.84	1
does get the hit here that's going to	1282.84	3.8	1
delay even more sedak is detained tu's	1283.96	4.52	1
had to TP away and now they finally	1286.64	3.399	1
regroup they don't have too much utility	1288.48	3.199	1
but these smokes T is already pushing	1290.04	3.361	1
towards that spike a beautiful Dy	1291.68	4.24	1
allowing T to get that pick up to sedak	1293.4	5.32	1
alone a nice shot there from pens once	1295.92	5.76	1
again leading out for the kill and SEL	1298.72	4.439	1
finally get another point he threw that	1301.68	3.6	1
through the window right yep oh we	1303.16	4.4	1
hardly ever get to see the windows used	1305.28	4.64	1
awesome stuff from	1307.56	4.921	0
Market honestly little things like that	1309.92	4.281	0
you hardly see in your games are the	1312.48	3.48	0
ones that can catch you off guard in a	1314.2	5.079	0
millisecond oh my gosh	1315.96	5.48	1
one eny wait a minute yeah there's a	1319.28	6.321	1
window vent that TS vent s and that's	1321.44	6.88	1
going to be the end 64 the timeout pays	1325.6	5.6	1
off for Sentinels here big time after	1328.32	5.52	1
three post plant rounds successful in a	1331.2	6.28	1
row low seems the game plan got foiled	1333.84	5.319	1
but thankfully you still have players	1337.48	3.76	1
that could really think on their toes	1339.16	4.601	0
though with how tens and Sassy play that	1341.24	4.08	0
one because he lost a lot of players in	1343.76	2.84	0
the process trying to play this they're	1345.32	3.64	1
trying to play a contact towards the a	1346.6	5.52	1
sight gets dropped the L by from L you	1348.96	6.199	1
saw the Bucky TP towards the back Thea	1352.12	5.039	1
is there for the support still holding	1355.16	3.481	1
towards the back of the a site that hat	1357.16	3.601	1
is going to help a lot neural theft out	1358.64	3.919	1
it's a forward push here from Les	1360.76	3.72	0
outside the B site while the rest are	1362.56	4.161	0
pinged out all around the a site but for	1364.48	5.0	0
Sentinels it's a cut noise just want to	1366.72	4.36	1
reset for a bit here with a minute left	1369.48	4.799	1
on the clock I like the movement Les	1371.08	4.36	1
said all right we're getting pinged I'm	1374.28	2.601	1
going to get out here and kill the Trap	1375.44	3.359	1
it at B Main	1376.88	3.84	1
just to make John Cy think a little bit	1378.8	3.721	0
more so John always watching the flank	1380.72	4.52	0
though they have to watch for Less could	1382.52	4.519	0
be a fer in this round that just closes	1385.24	4.679	1
it out oh the Ang the whole time and now	1387.04	6.201	1
get all here comes the bom the M towards	1389.92	6.0	1
the back of the side contact on while	1393.24	4.72	1
the rest of the SEL were	1395.92	5.681	1
there just to get the driveby firing	1397.96	6.28	1
squad leaving Les	1401.6	5.559	1
alone yeah he broke one trip on the B	1404.24	4.84	1
site but couldn't get one on the a side	1407.16	4.4	1
