Text	Start Time (s)	duration
for a	188.72	4.4
main triple push forward but the cross	190.52	4.64
is just too good for Sentinels they do a	193.12	4.32
little bit of damage here for L and you	195.16	3.64
know what I'm not going to Discount this	197.44	4.56
player qck finally pushed forward by Z	198.80	5.601
and SEL get the second round all right	202.00	5.319
two patient rounds from Sentinels they	204.40	4.759
pretty much walk themselves into a	207.32	3.64
situation where they're fighting loud	209.16	4.08
the first one ended up at a on pistol	210.96	3.84
that second one they were able to find	213.24	3.441
their fight as they push Behind Enemy	214.80	4.0
Lines in mid which also works out for	216.68	4.4
Sen because now they have a bit of map	218.80	4.601
info of how loud will play those lower	221.08	4.359
by rounds whether or not they were	223.40	4.759
covering mid L maybe can read a bit into	225.44	5.08
it once they see it again all that	228.16	5.44
information helps so now what can L do	230.52	5.92
they tried the B stack that default take	233.60	4.72
on a for first round did not work but	236.44	3.561
they're going to heavy stack towards a	238.32	3.441
here as we get a bigger default from	240.00	3.76
Sentinels and I'm interested to see if	241.76	4.6
loud does a bit of the extremity pushing	243.76	4.759
here they need each other to get back	246.36	4.599
for this initiator utility on the retake	248.52	4.36
so losing somebody on a peak would be	250.96	3.881
detrimental to loud they're going to	252.88	6.04
stay back and play a very passive o game	254.84	6.28
except for that player except for that	258.92	4.641
two gets dropped instantly Sentinels	261.12	5.72
once again in a power play John Cy still	263.56	4.76
lurking around towards this B sign	266.84	2.919
trying to see if you can hear rotate out	268.32	3.439
of market so for sentinals it's still an	269.76	4.081
information game for loud it's the	271.76	3.481
aggression we talked about the	273.84	2.76
extremities but this time it's towards	275.24	3.92
the there's the contact on a few finally	276.60	5.159
gets traded out but we're even up on a	279.16	5.44
33 with Z heavily damaged and that lurk	281.76	5.041
though for John cue it's now open it's	284.60	3.879
up to sel to try to figure a way back	286.80	2.959
towards the B site to meet up against	288.48	2.961
the	289.76	4.921
igl going the long way around wouldn't	291.44	5.0
be able to clear mid and do not know	294.68	3.32
what breadcrumbs are left there from the	296.44	4.36
Cowen push yeah they right qck is able	298.00	5.039
to catch this audio and will take a shot	300.80	5.48
easy one placement Z low on HP actually	303.04	4.841
Dodges away from The Flash and made it	306.28	3.68
through getting a plant right now for	307.88	3.64
senal would be pretty	309.96	4.0
decent for this bonus round that they	311.52	5.6
have John C watching Z's back as a plant	313.96	5.56
Comes Down stink bite just dropping down	317.12	5.639
inches away at zin's feet and allows	319.52	4.679
both players now to group together	322.76	2.801
towards the back of the site they see	324.20	3.801
the Recon darts are rotate a flank from	325.56	4.479
sadak towards the B Main	328.00	4.36
qck no more flashes has to move together	330.04	3.481
they have to play the fundamentals now	332.36	3.839
for loud to blaze wall first but another	333.52	5.239
St Bight forcing John Cy out of position	336.20	5.161
a one for one solo second head shot on	338.76	5.44
the first but geted right away by Les a	341.36	5.52
nice trade for loud they convert their	344.20	5.401
gun round but SEL they are definitely	346.88	5.68
happy with that result loud securing	349.60	6.48
that one L with the viper bite on to Z	352.56	6.12
actually paying off in dividends as they	356.08	4.64
follow up on it but you're right so much	358.68	4.079
damage done from Sentinels loud are	360.72	4.08
going to have a bit of trouble reing	362.76	3.921
into this already see some Stingers on	364.80	4.36
the board as we rewatch this play again	366.68	5.32
good teamwork good trade fundamentals on	369.16	4.84
that one keep pressing W until you can	372.00	4.52
get your teammate anchored on that play	374.00	4.4
So a good post plant from loud we see	376.52	3.92
that	378.40	4.199
successful can they keep it up Phoenix	380.44	4.8
ultimate's up they may try to go for an	382.60	4.32
a push here as they already have that	385.24	4.399
sight quite stacked and the only one	386.92	4.361
that's going to be seen as	389.64	4.84
two L having to play once again a gamble	391.28	4.88
stack this time towards B because of	394.48	3.481
that bonus round that SEL had the	396.16	4.08
economy is very low the strongest weapon	397.96	4.359
was the one that was maintained by Les	400.24	4.079
on that previous round which is a vandal	402.32	3.241
and the rest are just looking for that	404.32	3.761
trap play it's up to loud once again to	405.56	4.479
do a lot more rotations around the side	408.08	3.559
have better reads but thankfully they	410.04	3.961
have a scan agent andot who's currently	411.64	5.041
joining towards the B main spots nothing	414.00	4.4
this is good for Sentinel to work the	416.68	4.72
map	418.40	3.0
what a choice John QD again calling it	421.48	5.72
shots the left side of the map here	424.68	4.28
obviously a retake for loud but this	427.20	3.961
should be Sentinels planting pushing	428.96	3.44
forward and actually gaining some	431.16	3.68
position so loud cannot do anything	432.40	4.88
really here on the retake the way	434.84	4.84
Sentinels have been approaching each of	437.28	4.639
their games it seems like they have two	439.68	4.56
variations they can use whether it is 10	441.92	4.68
on the omen where they they they play a	444.24	3.88
game that's centered around this	446.60	3.28
crowding up getting into the sight	448.12	3.359
together and just	449.88	5.201
swarming s a top of the head of s Falls	451.48	5.4
at least for allow they have this	455.08	4.6
running back with qck hoping that sedak	456.88	4.16
was still alive to help with the Recon	459.68	2.959
Dart but it's going to make it a little	461.04	3.481
bit more difficult for loud to retake	462.64	4.28
the site J CU already setting up with	464.52	3.679
the camera so that's going to be the	466.92	2.641
first Contact the rest of the team	468.20	3.241
holding back towards be main looking to	469.56	4.4
just Spam if loud make it through make	471.44	5.039
it through the first line of contact	473.96	5.84
John cuy back Beautiful by celsus it	476.48	5.72
allows for him to get the kill onto less	479.80	4.959
there's qk upgrading weapon M onto the	482.20	4.12
ground the Lays coming out from SEL that	484.76	3.28
clock is ticking down here pains on top	486.32	3.921
of that nice shot though from T as	488.04	4.16
they're leading forward boom to get more	490.24	4.2
scans s dropping two in a beautiful hole	492.20	5.041
for s in the end not even worrying about	494.44	4.319
the smokes that can come through they	497.24	3.76
have all the utility and weaponry to	498.76	4.56
fire back on to loud and that low by	501.00	4.0
hurts all the damage sen did on the	503.32	4.16
bonus round hurts and they pick up a	505.00	5.84
third round now and that that was that	507.48	5.0
that was the one variation of the hit	510.84	3.48
where they can follow zekin in they can	512.48	4.081
make it work on a map like Sunset and	514.32	4.24
then klin can switch up the team and you	516.56	4.919
can get a bind out of this squad that	518.56	5.0
has a yoru forend where they're pushing	521.48	4.401
everywhere they know how to flex and	523.56	4.56
flow between play Styles so well when	525.88	3.92
they get on different agents Sentinels	528.12	3.64
is just showing different this year but	529.80	3.92
we got a whole series to go through and	531.76	4.36
Loud has showed us just as much this	533.72	5.119
season coming into round five this til	536.12	6.399
push is is louds again but T answers two	538.84	4.641
right	542.52	3.681
away but tuis did get a timing he made	543.48	4.599
it through that's going to catched on CU	546.20	4.079
that's allowing to even up the tally for	548.08	3.841
the mid-ring to start a little bit	550.28	4.481
earlier Les even once more no pun	551.92	5.0
intended as we have a fight now towards	554.76	6.4
the a main side instantly leaving sashy	556.92	7.28
alone and they may even taster choice	561.16	5.04
this and by that I mean who's going to	564.20	3.72
kill Sashi do you get an ALT on sadak do	566.20	3.879
you get an ALT on l is it different do	567.92	3.599
you let him get it down and get the alts	570.08	2.841
that way loud's going to be able to	571.52	3.121
circulate these alts in the next few	572.92	3.72
rounds sashy gets the plant and	574.64	3.56
beautiful that he can work off of it	576.64	3.6
with wingman here trash is available if	578.20	5.24
this goes down Sashi may go all out that	580.24	4.68
would be such a gamble but look at him	583.44	3.72
it here all these rotates so he's trying	584.92	3.479
to get an angle he's trying to get a	587.16	3.119
surprise attack here's our first jump	588.40	3.801
spot here's two crossing over the third	590.28	4.161
one already made it through so Sassi now	592.20	4.24
has a timing behind the three players	594.44	3.68
allowed roach it in across there's a	596.44	3.2
stake by towards M now	598.12	3.92
Watchers two and he will have all the	599.64	4.8
kit left now on his Geo kit the mar	602.04	4.32
going down Force the halfway out of	604.44	4.44
position now Les Falls away there's that	606.36	3.919
thrash coming out too from the front of	608.88	3.079
the pillar and Les even has to pull back	610.28	3.481
towards the market it does not hit him	611.96	5.12
though but that clock is taken down s r	613.76	6.639
for the time gets it done and Sass wins	617.08	7.361
a three on one against	620.40	8.361
loud incredible play from sashy you can	624.44	6.8
look at any player on this team and find	628.76	4.04
that type of play coming out of	631.24	6.48
Sentinels here absolutely routing loud	632.80	7.08
listen to that	637.72	5.64
crowd the Saucy call outs come out as	639.88	6.639
his plays go down what a pivotal kill	643.36	6.159
two for 10s for Sentinels to understand	646.52	6.081
the tiles push has been such a priority	649.52	5.921
for L they instantly attack back snap	652.60	5.32
back at L's push when qck comes around	655.44	4.32
the corner and	657.92	6.0
yeah they're feeling that what a play	659.76	5.92
from	663.92	4.359
Sassi absolutely throwing loud's timing	665.68	4.36
off by the wingman plant and push into	668.28	4.281
to Market very heady play we're in round	670.04	5.08
six now a mid playay from loud thinking	672.56	4.2
that Sentinels might go for this	675.12	3.24
encroachment again they have a lot that	676.76	2.8
they can work behind this wall that they	678.36	2.88
just put up there goes that curveball	679.56	5.12
out for qck but do we still fell first s	681.24	4.68
are just anching around they have	684.68	3.08
support from all angles control it in	685.92	4.76
the middle kn chance	687.76	5.4
for through a mid	690.68	6.279
flood with that hat thrown here by joh	693.16	5.96
gives enough information that a site is	696.96	4.201
open it's weaker where sedak is	699.12	4.2
currently only holding with the sheriff	701.16	3.679
even sels they're giving him that	703.32	3.28
respect moving all the way together	704.84	5.401
forming up forming up ORS rather really	706.60	8.12
just working the protocols for the later	710.24	4.48
rounds just the smoke giving them pawn	714.88	5.28
shop control they know Sak right	717.52	5.361
there and another quick wingman plant	720.16	4.88
giving Sentinels so much safety never	722.88	4.84
having to push into the sight remain	725.04	4.32
somehow sedak had an opener had an	727.72	4.239
opportunity to drop JN cue but it's a NL	729.36	6.2
battle won by Sentinels yeah and last	731.96	5.68
again potentially in a situation yeah	735.56	3.2
you already see him back it up he's	737.64	3.481
going to save this one money wasn't too	738.76	4.199
great here for alloud and his half by	741.12	4.24
that they had trap play was read by	742.96	4.801
Sentinels exactly louder doing	745.36	4.36
everything they can to get under the	747.76	3.96
skin of Sentinels find that first kill	749.72	4.239
so they might be able to grab zel's	751.72	3.919
Vandal or whatever he would have in the	753.96	3.961
round and then move it around again	755.64	4.121
right see what Les can get see what can	757.92	5.2
happen Sentinels is avoiding it though	759.76	5.36
they're understanding and respecting the	763.12	3.8
fact that loud can still do a lot of	765.12	3.92
damage on these Low by rounds and you're	766.92	4.76
not seeing any wide swings that don't	769.04	4.44
have an anchor of a sentinel member on	771.68	4.56
it very controlled play Here by send	773.48	4.0
understanding their wing condition and	776.24	4.0
holding it close to the chest four	777.48	4.799
ultimates for loud very big swing point	780.24	4.12
in the game we get another timeout right	782.28	4.761
away oh my gosh should be the first one	784.36	6.56
here after all okay okay yeah so now	787.04	4.919
just trying to figure out what they can	790.92	2.68
do with this	791.96	4.041
probably as we had an inkling that a	793.60	3.599
timeout should have come out on that	796.00	3.16
previous round that lower buy that we	797.20	3.44
had from loud is just for him to decide	799.16	3.0
okay we got four alss to work with this	800.64	4.361
time around but that doesn't take away	802.16	4.2
any of the point that you mentioned so	805.00	4.399
far with that the ski round loss in a	806.36	5.32
row you're going to get 2900 into the	809.40	4.88
pockets of loud that's basically on no	811.68	4.68
credits is they have to spend in again	814.28	4.12
they need to use these ultimates to get	816.36	3.88
some rounds back now or it's going to	818.40	4.8
start swinging very heavily in favor of	820.24	5.24
sen already they swing heavily over	823.20	4.841
towards the right side to pressure main	825.48	5.279
pop flash going right into back alley	828.04	4.239
and it definitely looks like for louds	830.76	2.681
side they want to try to use that right	832.28	2.68
away there's the p on the first one	833.44	3.519
already the ig's backing up trying to	834.96	3.841
get the hury out and there it is it does	836.96	4.12
get a ping on a feud and with flashes	838.80	3.92
coming across it does get contact for	841.08	4.281
Ping but Zen still opens up Sentinels	842.72	4.44
were working towards the midside after a	845.36	4.2
trap play attempted by L with these alss	847.16	4.08
now Les is going to be in heavy trouble	849.56	3.839
towards the market he's there alone and	851.24	3.599
he's just trying to Anchor up at least	853.40	4.36
one portion of this bite towards the map	854.84	4.68
while the rest are pushing double	857.76	4.041
towards aong zelus is currently waiting	859.52	3.961
he lost his teammate in the process but	861.80	3.479
he gets the Dink and the kill on to tuis	863.48	3.68
the flash turns away from it and does	865.28	4.12
not connect on the second one Cowen	867.16	4.64
walks outway out of that fight limping	869.40	4.041
away but still has that support from	871.80	4.0
sadak three on three now in the mid	873.44	5.72
round finding fights around the map loud	875.80	5.92
trying to pick apart at sentinel's Team	879.16	4.64
before they hit these sights finally we	881.72	3.4
just talked about it they couldn't find	883.80	3.0
any ground before it always be quickly	885.12	4.88
traded back now the 3v3	886.80	6.52
stands unless gets traded out yep in	890.00	5.32
these moments during this kickoff has	893.32	4.079
been so good and he anchored position to	895.32	4.519
drop two and three has been a superstar	897.40	5.761
player but now SEL coming out this	899.84	5.68
game the basics the fundamentals are	903.16	4.0
looking very good to get	905.52	4.841
a coming out looking around the	907.16	6.0
TP Co moving forward looks like tens is	910.36	4.2
looking for a fight he gets punished	913.16	3.0
right away by sadak as the Rolling	914.56	3.76
Thunder comes out now even the P comes	916.16	5.239
out beautiful combination of utility	918.32	6.72
from loud as they drop zasi and come in	921.40	5.481
for the diffuse and we talked about how	925.04	4.919
big this round was loud stays off going	926.88	5.519
into economy hell right now that was	929.96	4.56
such a big round Sentinels would have	932.40	4.12
been running away with a few more and	934.52	3.481
this first half would have not looked	936.52	4.161
good now we have loud coming back up	938.00	4.199
here still going to be a buy coming in	940.68	3.68
from sen it seems yeah they should be	942.20	3.681
able to get that low armor	944.36	5.599
in see this again too the the retake it	945.88	7.48
had to happen for loud to use the the	949.96	5.841
the Rolling Thunder everything they had	953.36	5.08
it was according to the play this had to	955.80	4.24
be be	958.44	4.56
secured oh Saucy not get out of that one	960.04	5.08
you see they're still vibing loud knows	963.00	4.319
this game isn't out of hand it's not	965.12	4.639
crazy the few rounds down means nothing	967.32	5.241
to sadak and Loud still very much in it	969.76	5.0
and let's see how they play that always	972.56	4.279
on ph the judg is there for sedak so you	974.76	3.401
know they're starting to get a little	976.84	3.161
ratty on these we'll see how that gets	978.16	4.799
used and these ultimates as well QC K	980.00	5.519
can still go in a quick retake and Les	982.96	4.841
just pushes him out with the Viper pit	985.52	4.521
we have yet to see how loud actually	987.80	4.64
fight back with those you see loud	990.04	4.32
though just jingling across the contact	992.44	3.56
being those controllers Less in the back	994.36	5.32
of the site two on the a site it looks	996.00	5.759
like senel want to activate right away	999.68	4.88
they com in out from zelus second	1001.76	5.401
Satchel to cross contact on players from	1004.56	4.48
loud in the back of Boba as a plant	1007.16	3.239
comes in for sental it's time for them	1009.04	3.239
to play the pulse plant once again but	1010.40	3.56
this time around nobody holding yet	1012.28	3.081
towards the back of the B main it's a	1013.96	3.24
paranoid to push through and you hear	1015.36	4.159
that run it back should come across the	1017.20	5.161
save comes out from Les as it allows qyk	1019.52	5.001
to stay alive a whole roster of loud	1022.36	4.079
against three left of Sentinels paranoia	1024.52	3.6
being thrown on defense there's that	1026.44	3.441
judge more utility flooding towards the	1028.12	4.079
front but celsus and tense are holding	1029.88	4.0
back their ground for now beautiful	1032.20	4.48
flash out fromus though now the tap on	1033.88	4.28
the spike trying to draw out the	1036.68	3.721
opponents beautifully done by	1038.16	4.72
loud they come in for the diffuse and	1040.40	5.12
you saw some hope there from zelus and	1042.88	5.319
10 and Loud instantly they held back for	1045.52	5.2
a Split Second four Sentinels out and	1048.20	4.001
finally played the fundamentals in won	1050.72	4.319
the round that's the loud train I think	1052.20	5.04
we've been looking for it took a little	1055.04	4.801
bit to stoke the fire but man coming	1057.24	4.52
down the tracks you do not want to be in	1059.84	3.719
the way of loud when they feel like the	1061.76	4.039
retake is going	1063.56	5.801
100% the way they came through Boba here	1065.80	7.561
just Fearless as it were as sedak says	1069.36	6.559
La just run right into B main the last	1073.36	4.439
time we saw that fight Sentinels was	1075.92	5.081
just Laing loud as they tried to come	1077.80	5.161
into B main they didn't even make it	1081.00	4.72
loud gained so much ground there	1082.96	4.44
completely taking Sentinels by surprise	1085.72	4.04
we set up for Sen in a bit of the same	1087.40	4.56
formation but less movement they're not	1089.76	3.72
taking as much of	1091.96	4.92
Market supressed the wall that they just	1093.48	5.199
dealt with there in B main usually can	1096.88	3.72
mean someone pushes up so you have to	1098.68	4.961
worry loud is giving send a lot of	1100.60	5.439
things to worry about here and with	1103.64	4.2
Dizzy down they're going to be able to	1106.04	3.961
have a little m in control but not sight	1107.84	5.839
yet s's just trying to play into loud's	1110.00	5.44
style where when they get pressure on	1113.68	3.401
one side they usually push the extremity	1115.44	3.16
on the other so you already see tens	1117.08	3.92
holding back towards the a main side all	1118.60	3.68
the way from Spawn trying to catch a	1121.00	3.159
forward push but nobody's really moving	1122.28	3.519
here from loud they held things back	1124.16	3.081
towards the B site they haven't really	1125.80	3.921
fully rotated and for them they're just	1127.24	4.2
very much still comfortable of playing	1129.72	4.52
that retake style uh towards this a sign	1131.44	4.28
for senal they regrouped after that	1134.24	3.16
after deniability that you saw there	1135.72	5.52
from less his utility with his	1137.40	7.24
teammates sen is looking to fit back	1141.24	5.76
toying with the door just hoping loud	1144.64	4.919
will have to keep covering Market there	1147.00	4.52
as they start to make their way zelus	1149.56	3.441
knife came up just a bit ago as they	1151.52	3.2
enter the a main area but this is a	1153.00	3.44
contact play they want to see how loud	1154.72	4.36
reacts to this and finally after the	1156.44	4.359
first SM comes out on the defense the	1159.08	3.0
other one goes out towards the spawn on	1160.80	3.521
the attack now you're not allowing here	1162.08	4.36
at twois to get the high stack and a	1164.32	4.8
spray with his Vandal which allows here	1166.44	6.92
a wingman to get a very Le plant towards	1169.12	4.24
a how far do they push forward little	1173.68	5.321
hide here from second right under the	1176.48	5.199
trash can John QD is going to be	1179.00	4.88
flanking far but it's watched by sedak	1181.68	4.161
What's the timing here loud comes	1183.88	3.4
through spawn through a whole flash	1185.84	2.68
towards the air just to try to slow it	1187.28	2.759
down for a bit just trying to take down	1188.52	3.32
Sak first to push towards that spawn it	1190.04	3.241
works out another one fell within the	1191.84	4.68
sight for loud loud have regain control	1193.28	5.12
of that b site the tap to flush out	1196.52	4.12
Sentinels once again double back towards	1198.40	4.04
the default box as last lines up two	1200.64	4.039
kills somehow and the spray comes back	1202.44	3.719
here through the cages but it's going to	1204.68	4.401
be difficult right now Sashi does get	1206.16	4.64
the pick the last one still sticks to	1209.08	2.92
the	1210.80	3.76
fuse not planed for them to be to play	1212.00	4.44
that push forward they really had to	1214.56	3.681
walk in the sight and L was always ready	1216.44	3.56
for that pretty wild damage from	1218.24	3.799
Sentinels though coming out with some	1220.00	5.6
pist on that round they drop all of loud	1222.04	5.161
loud and the fans happy though to pick	1225.60	3.04
up another round like we said even	1227.20	3.16
looking at five been showing up as well	1228.64	4.32
for Sentinels this season so we get back	1230.36	5.64
in also decided not to play the ascent	1232.96	5.48
in this Grand finals they didn't that	1236.00	5.6
the fact that we had ice box in here and	1238.44	4.76
S have been kind of kicking that out of	1241.60	3.28
the pool was very interesting I cannot	1243.20	5.599
wait but on Sunset until it does just	1244.88	6.799
that round 10 monster on the loose uhoh	1248.80	4.801
thrash right off the rip how does loud	1251.68	3.921
respond to an instant aggression tried	1253.60	4.72
to get a camera uh pivot towards the mid	1255.60	5.16
and zelus already fell now just spraying	1258.32	4.479
across here and gets a lucky kill onto a	1260.76	4.039
second that second that falls he's he	1262.80	4.801
get a plant now Hunter's Fury coming out	1264.80	4.961
from the defense of ping does get the	1267.60	4.84
hit onto John cue from	1269.76	5.159
qck as here's a shot from behind to lur	1272.44	5.04
once again Sashi gets it done TS under	1274.92	4.041
heavy pressure alone towards the back of	1277.48	3.64
the site thrash being picked up the TP	1278.96	3.88
away from one sees the second one and it	1281.12	2.84
does get the hit here that's going to	1282.84	3.8
delay even more sedak is detained tu's	1283.96	4.52
had to TP away and now they finally	1286.64	3.399
regroup they don't have too much utility	1288.48	3.199
but these smokes T is already pushing	1290.04	3.361
towards that spike a beautiful Dy	1291.68	4.24
allowing T to get that pick up to sedak	1293.40	5.32
alone a nice shot there from pens once	1295.92	5.76
again leading out for the kill and SEL	1298.72	4.439
finally get another point he threw that	1301.68	3.6
through the window right yep oh we	1303.16	4.4
hardly ever get to see the windows used	1305.28	4.64
awesome stuff from	1307.56	4.921
Market honestly little things like that	1309.92	4.281
you hardly see in your games are the	1312.48	3.48
ones that can catch you off guard in a	1314.20	5.079
millisecond oh my gosh	1315.96	5.48
one eny wait a minute yeah there's a	1319.28	6.321
window vent that TS vent s and that's	1321.44	6.88
going to be the end 64 the timeout pays	1325.60	5.6
off for Sentinels here big time after	1328.32	5.52
three post plant rounds successful in a	1331.20	6.28
row low seems the game plan got foiled	1333.84	5.319
but thankfully you still have players	1337.48	3.76
that could really think on their toes	1339.16	4.601
though with how tens and Sassy play that	1341.24	4.08
one because he lost a lot of players in	1343.76	2.84
the process trying to play this they're	1345.32	3.64
trying to play a contact towards the a	1346.60	5.52
sight gets dropped the L by from L you	1348.96	6.199
saw the Bucky TP towards the back Thea	1352.12	5.039
is there for the support still holding	1355.16	3.481
towards the back of the a site that hat	1357.16	3.601
is going to help a lot neural theft out	1358.64	3.919
it's a forward push here from Les	1360.76	3.72
outside the B site while the rest are	1362.56	4.161
pinged out all around the a site but for	1364.48	5.0
Sentinels it's a cut noise just want to	1366.72	4.36
reset for a bit here with a minute left	1369.48	4.799
on the clock I like the movement Les	1371.08	4.36
said all right we're getting pinged I'm	1374.28	2.601
going to get out here and kill the Trap	1375.44	3.359
it at B Main	1376.88	3.84
just to make John Cy think a little bit	1378.80	3.721
more so John always watching the flank	1380.72	4.52
though they have to watch for Less could	1382.52	4.519
be a fer in this round that just closes	1385.24	4.679
it out oh the Ang the whole time and now	1387.04	6.201
get all here comes the bom the M towards	1389.92	6.0
the back of the side contact on while	1393.24	4.72
the rest of the SEL were	1395.92	5.681
there just to get the driveby firing	1397.96	6.28
squad leaving Les	1401.60	5.559
alone yeah he broke one trip on the B	1404.24	4.84
site but couldn't get one on the a side	1407.16	4.4
so his cover is	1409.08	4.8
blown to keep away but that's Ace shot	1411.56	5.401
off and now no one else Peaks versus one	1413.88	5.32
holding a tight angle as set kin goes	1416.96	4.599
for the crabwalk though and he'll get	1419.20	6.64
the pick seven to four now last round	1421.56	8.12
Sentinels great control here kind of	1425.84	6.16
activating un loud so quick it almost	1429.68	3.88
look like loud fell asleep at the wheel	1432.00	3.52
for a second that's just the timing	1433.56	4.321
wasn't there Sentinels get a Thanos	1435.52	4.759
timing walking into elbow here Sai drops	1437.88	7.48
qck no flash and this what three a crowd	1440.28	7.201
that was so unlucky there for loud	1445.36	4.04
because they were anticipating that hit	1447.48	4.64
from SEL you saw who was I think it was	1449.40	4.92
C looking towards the a with a frenzy	1452.12	4.2
getting ready to hit that but hit both	1454.32	3.52
of his teammates even all three before	1456.32	3.839
but let's hold that thought Sher already	1457.84	4.68
out outside of the gates and blow Sedar	1460.16	3.561
to	1462.52	4.6
bits once again numbers Advantage for	1463.72	4.88
Sentinels Al allwing for them to work	1467.12	4.32
the map working back towards his BS side	1468.60	4.88
and right there I hope I have enough	1471.44	4.239
time to say this never mind not at all	1473.48	3.52
paranoia going back and forth just to	1475.68	3.521
try to delay towards the market but	1477.00	4.64
still allowing sentinals to gain space	1479.20	4.92
and a plant attempt as we went for	1481.64	3.919
attack first and lost players towards	1484.12	3.2
the market side sash is still alive at	1485.56	4.84
that spot though we try to hold it back	1487.32	5.839
finally successful for the	1490.40	5.361
sentinals smoke to just to help s a	1493.16	4.601
little bit towards the market L just	1495.76	3.56
winning here for that fight coming out	1497.76	4.88
from qck it's slow but it's coming as a	1499.32	4.76
dizzy comes up just to try to delay	1502.64	2.68
towards the back of the site even more	1504.08	3.04
finally that contact as you mentioned	1505.32	4.079
second season flates coming out there's	1507.12	4.76
that execution now for S back and forth	1509.40	4.52
but still the advantage for the attack	1511.88	4.76
side as they know it was that flanker	1513.92	4.921
qck with no utility after he uses his	1516.64	5.159
wall contact out to sasi allowing here a	1518.84	4.76
second just to wait for the tap pain	1521.80	3.721
shells to keep him at Bay that will	1523.60	3.24
definitely end the half right now	1525.52	2.8
especially with that	1526.84	3.92
coming out from Saia SS to close out the	1528.32	4.28
half with a four-point	1530.76	4.279
lead second us an ALT there at the	1532.60	4.439
beginning of the round the pressures	1535.04	4.481
created it's been such a different in	1537.04	4.24
that sense of ultimates being used right	1539.52	4.12
off the rip all of sck's hunters uh the	1541.28	4.161
hunters Furies came at the beginning of	1543.64	3.8
the round came to try and discombobulate	1545.44	4.119
